loss,id,n,title
13.44,C83,25,LorGl 2 (Kuypers)
13.27,C5,125.17,Mem
13.21,C27,12.194,RegCGl (Kornexl)
13.11,C21.8,55,LkHeadGl (Li)
13.08,C21.2,125.11,DurRitGl 2 (Thomp-Lind)
12.83,B15.1.37,3.1,Ch 731 (Birch 1135)
12.80,C27,5.57,RegCGl (Kornexl)
12.68,C21.1,106.16,DurRitGl 1 (Thomp-Lind)
12.62,C18.3,86.3.2,HyGl 3 (Gneuss)
12.60,C27,69.1658,RegCGl (Kornexl)
12.48,C8.1.7,4,LkArgGl (Li)
12.43,C4,46.80.2,BenRGl
12.40,C15,38.41,LibSc
12.34,B15.1.10,2.1,Ch 287 (Birch 426)
12.24,B1.9.1,50.5,ÆGram
12.21,C8.1.8,4,JnArgGl (Li)
12.17,C20.3,1,LiProlMt (Skeat)
12.16,C10,1,BonGl
12.14,C8.1.6,2,MkArgGl (Li)
12.12,C15,34.8,LibSc
12.11,B15.1.4,1,Ch 125 (Birch 248)
12.10,B1.9.1,101.12,ÆGram
12.10,C15,55.22,LibSc
12.08,C20.3,12,LiProlMt (Skeat)
12.08,C4,72.117.4,BenRGl
12.08,C15,58.53,LibSc
12.07,C15,63.17,LibSc
12.05,C4,1.9.17,BenRGl
12.05,C4,2.12.7,BenRGl
12.04,C4,64.107.5,BenRGl
12.01,C15,9.59,LibSc
12.00,C15,79.10,LibSc
11.97,B8.1.4.7,28,HeptNotes
11.96,C15,29.17,LibSc
11.94,C21.1,102.14,DurRitGl 1 (Thomp-Lind)
11.94,C4,39.71.3,BenRGl
11.93,C15,80.11,LibSc
11.91,C4,18.51.13,BenRGl
11.89,C21.2,147.4,DurRitGl 2 (Thomp-Lind)
11.88,C20.2,21,LiEpis (Skeat)
11.87,C4,28.59.8,BenRGl
11.86,C4,43.76.1,BenRGl
11.85,C8.1.8,2,JnArgGl (Li)
11.83,B16.10.1,47,Rec 10.1 (RobApp I 1)
11.83,B9.2.4,11.78.2,Or 3
11.79,C21.1,95.2,DurRitGl 1 (Thomp-Lind)
11.78,C27,37.873,RegCGl (Kornexl)
11.77,B21.3,63.1,Med 3 (Grattan-Singer)
11.76,C1,112.5,Abbo
11.75,C4,7.29.2,BenRGl
11.75,C20.4,4,LiPraefEuseb (Skeat)
11.75,C20.1,220(2.19.5),IsidSent (Cornelius)
11.72,C21.5,32,MkHeadGl (Li)
11.71,B15.1.180,1,Ch IWm (PRO1907 3)
11.71,C15,2.31,LibSc
11.70,B20.20.1,4.2.13,ByrM 1 (Baker/Lapidge)
11.69,C20.1,97(1.6.4),IsidSent (Cornelius)
11.65,C27,23.455,RegCGl (Kornexl)
11.65,B1.9.1,168.3,ÆGram
11.63,B15.2.3,1,Ch 1196 (Birch 497)
11.60,C21.1,113.5,DurRitGl 1 (Thomp-Lind)
11.60,C21.1,77.17,DurRitGl 1 (Thomp-Lind)
11.58,C15,24.50,LibSc
11.54,C21.1,119.9,DurRitGl 1 (Thomp-Lind)
11.52,C15,50.3,LibSc
11.51,C7.7,57.4,PsGlA (Kuhn)
11.50,C3,170,ÆColl
11.50,C4,1.12,BenRGl
11.50,C21.1,122.9,DurRitGl 1 (Thomp-Lind)
11.50,B15.1.6,1.1,Ch 190 (Birch 416)
11.48,C15,53.4,LibSc
11.48,C21.1,38.3,DurRitGl 1 (Thomp-Lind)
11.46,C15,7.28,LibSc
11.46,B15.1.202,22,Ch IIWm (PRO1906)
11.46,C18.3,128.3,HyGl 3 (Gneuss)
11.45,C8.1.6,3,MkArgGl (Li)
11.45,C27,18.309,RegCGl (Kornexl)
11.45,C11.2,6(5).15,PsCaE (Liles)
11.44,B20.20.1,1.1.76,ByrM 1 (Baker/Lapidge)
11.44,C21.3,23,MtHeadGl (Li)
11.44,B14.45,17,LawGer
11.44,C27,29.644,RegCGl (Kornexl)
11.43,C15,15.20,LibSc
11.42,C8.1.5,3,MtArgGl (Li)
11.42,C11.6,12.2,PsCaA 1 (Kuhn)
11.42,C15,16.29,LibSc
11.41,C15,28.4,LibSc
